created_at,full_text,tweet_url,text_clean
Wed Jun 04 20:47:15 +0000 2025,@yappingfess ga bole lngsung plng kk kalo dosenny msh menjelaskan tnggu dosen ksh aba aba dlu sih,https://x.com/undefined/status/1930365755624960216, ga bole lngsung plng kk kalo dosenny msh menjelaskan tnggu dosen ksh aba aba dlu sih
Wed Jun 04 20:46:27 +0000 2025,@Worldsource24 Its so fake she is trying not to smile or laugh. She dosen't know what to do with her face. They are in no danger whatsoever.,https://x.com/undefined/status/1930365554008981944, Its so fake she is trying not to smile or laugh She dosent know what to do with her face They are in no danger whatsoever
Wed Jun 04 20:46:05 +0000 2025,Eh tapi gw beruntung bgt dulu dapet dosen yg sukanya gabungin kelas di auditorium. Ga perlu keliling lama karena anak angkatan emg peduli + laperan jadinya gw ga effort2 amat buat danusan ,https://x.com/undefined/status/1930365464653508798,Eh tapi gw beruntung bgt dulu dapet dosen yg sukanya gabungin kelas di auditorium Ga perlu keliling lama karena anak angkatan emg peduli  laperan jadinya gw ga effort amat buat danusan 
Wed Jun 04 20:46:01 +0000 2025,Hr ini fisip dah mulai libur belom ya Jends! Mau ngumpulin revisi ke dosen,https://x.com/undefined/status/1930365448006086712,Hr ini fisip dah mulai libur belom ya Jends Mau ngumpulin revisi ke dosen
Wed Jun 04 20:45:48 +0000 2025,NATO nation warned that nuclear attack could 'only ever be 90 minutes away' Peaty Russia dosen't realise that UK and France are 90 minutes away to erase out of the Map St.Petersburg and Moscow https://t.co/F6QKPifNG6,https://x.com/undefined/status/1930365393807520005,NATO nation warned that nuclear attack could only ever be  minutes away Peaty Russia dosent realise that UK and France are  minutes away to erase out of the Map StPetersburg and Moscow 
Wed Jun 04 20:40:45 +0000 2025,@nardahatake Tiba-tiba mode dosen,https://x.com/undefined/status/1930364122740470199, Tibatiba mode dosen
Wed Jun 04 20:38:56 +0000 2025,@illnevercallitx @heikeinblack ISO 100 ist schon mutig. Da brauchst du auch bei Außenaufnahmen eine ruhige Hand. Innen nur mit Stativ und Fernauslöser. Die Filmlasche bekommst du zerstörungsfrei nicht mehr aus der Dose heraus. Es gab aber früher manuell befüllbare Dosen mit denen ginge eine Weiterverwendung.,https://x.com/undefined/status/1930363665213169938,  ISO  ist schon mutig Da brauchst du auch bei Auenaufnahmen eine ruhige Hand Innen nur mit Stativ und Fernauslser Die Filmlasche bekommst du zerstrungsfrei nicht mehr aus der Dose heraus Es gab aber frher manuell befllbare Dosen mit denen ginge eine Weiterverwendung
Wed Jun 04 20:37:11 +0000 2025,@motorrbat @thumbprintco Hai hai keknya kamu harus nonton film ini deh pad man india waktu itu aku dan temenku matkul KIA disuruh dosen nonton PAD MAN dan disuruh bikin kesimpulan nah siapa tau kamu bisa jadi lebih tau mengenai knp hrus pke pembalut sebelum pembalut ada,https://x.com/undefined/status/1930363222223401419,  Hai hai keknya kamu harus nonton film ini deh pad man india waktu itu aku dan temenku matkul KIA disuruh dosen nonton PAD MAN dan disuruh bikin kesimpulan nah siapa tau kamu bisa jadi lebih tau mengenai knp hrus pke pembalut sebelum pembalut ada
Wed Jun 04 20:34:35 +0000 2025,@Forbes Its a psychological barrier basically meaning when we are in crisis - you were there coz Crisis dosen't work 9 to 6 job ,https://x.com/undefined/status/1930362567060287561, Its a psychological barrier basically meaning when we are in crisis  you were there coz Crisis dosent work  to  job 
Wed Jun 04 20:34:21 +0000 2025,@LailaLaila66449 @sbmptnfess - Cari temen kuliah yang gak pacaran dan agamanya bagus. Cara lihatnya gmn? sholatnya dijaga lisannya gak keluar kata2 yang kasar dan santun sama yang lebih tua. - Cari komunitas belajar yang positif bisa ikut projek dosen atau lomba karya tulis ilmiah.,https://x.com/undefined/status/1930362509099446690,   Cari temen kuliah yang gak pacaran dan agamanya bagus Cara lihatnya gmn sholatnya dijaga lisannya gak keluar kata yang kasar dan santun sama yang lebih tua  Cari komunitas belajar yang positif bisa ikut projek dosen atau lomba karya tulis ilmiah
